1308 Compositions 

alloy     Elastic Modulus, GPa
===============================
La60Be40 42.0958800870395
La80Be20 42.441412047271
Al80La20 37.7408516907471
Al60La40 37.8378601230304
La60Al40 38.0467621038618
La80Al20 38.3637760383207
Ca80La20 37.3589990837186
Ca60La40 37.4873305034018
La60Ca40 37.7020074878116
La80Ca20 37.9997663781426
Co80La20 35.9143660070857
Co60La40 36.0375000866314
La60Co40 36.243580766261
La80Co20 36.5316036475811
Nb80Gd20 49.1466192011508
Nb60Gd40 49.5416876873526
Gd60Nb40 50.0535848693502
Gd80Nb20 50.6709510077219
Mo80Gd20 70.0446166246865
Mo60Gd40 70.4512124496452
Gd60Mo40 70.9101690242232
Gd80Mo20 71.4161303685076
Sn80Gd20 55.9215107588998
Sn60Gd40 56.1799891686518
Gd60Sn40 56.5622208216814
Gd80Sn20 57.0633430856411
Si80Gd20 58.349723616631
Si60Gd40 58.5655383086469
Gd60Si40 58.896571187634
Gd80Si20 59.3284187141835
Mg80Gd20 37.5285107763868
Mg60Gd40 37.6594151629533
Gd60Mg40 37.8986682867381
Gd80Mg20 38.2430103031458
Ni80Hf20 116.759678001358
Ni60Hf40 114.977364085459
Hf60Ni40 113.421324013834
Hf80Ni20 112.062138803984
Cu80Hf20 96.0473113627863
Cu60Hf40 95.6822480036351
Hf60Cu40 95.3406998405746
Hf80Cu20 95.0372231558714
Ti80Hf20 96.641093878233
Ti60Hf40 96.2801479361864
Hf60Ti40 95.9483744178799
Hf80Ti20 95.6452396870219
Zr80Hf20 126.814500353411
Zr60Hf40 124.801032658238
Hf60Zr40 122.977178857804
Hf80Zr20 121.325799947386
B80Hf20 120.78550313094
B60Hf40 119.312887538315
Hf60B40 117.878408969841
Hf80B20 116.48590989641
Cr80Ta20 144.841347267535
Cr60Ta40 141.985233471492
Ta60Cr40 139.212316824299
Ta80Cr20 136.567392059401
La80Ta20 132.513250040448
La60Ta40 129.834666891758
Ta60La40 127.37125477497
Ta80La20 125.140240363946
Fe80Ta20 199.840604014022
Fe60Ta40 194.580601394743
Ta60Fe40 189.458222424458
Ta80Fe20 184.491752885266
Sc80Ta20 130.94111972073
Sc60Ta40 128.213512291382
Ta60Sc40 125.672346073389
Ta80Sc20 123.352529781884
Cu80Ta20 184.720096048867
Cu60Ta40 182.034165550479
Ta60Cu40 178.947153352053
Ta80Cu20 175.642052031545
Cu80W20 181.988516525716
Cu60W40 178.25205045877
W60Cu40 174.27795358199
W80Cu20 170.236156778196
La80W20 118.061064711599
La60W40 117.08819911998
W60La40 115.995767450837
W80La20 114.86587811225
Hf80W20 190.37783192737
Hf60W40 185.291869482172
W60Hf40 180.379654712274
W80Hf20 175.694882205715
Au80W20 152.843763025674
Au60W40 151.749439804567
W60Au40 150.200926448875
W80Au20 148.330480202242
P80W20 174.254172439526
P60W40 171.328089499162
W60P40 168.476424351626
W80P20 165.754878409833
La80Au20 65.0132558650695
La60Au40 65.20539619766
Au60La40 65.5292225087383
Au80La20 65.9693332928922
Ni80Au20 67.7719982073443
Ni60Au40 68.2697308156318
Au60Ni40 68.8676525592802
Au80Ni20 69.5440334141303
Sn80Au20 57.6118325587676
Sn60Au40 58.1325641740457
Au60Sn40 58.7786503242181
Au80Sn20 59.53954026804
Mg80Au20 42.9881612000077
Mg60Au40 43.1977544657657
Au60Mg40 43.5280629988865
Au80Mg20 43.9720924885017
Si80Au20 53.0858781574358
Si60Au40 53.6585932935993
Au60Si40 54.3449441508018
Au80Si20 55.1297568449048
Ca8020 72.5311712494209
Ca6040 71.5275834175353
60Ca40 70.7486406663139
80Ca20 70.1737780391332
Nb8020 252.090388487975
Nb6040 248.363528844378
60Nb40 244.064151823577
80Nb20 239.361635434826
Ta8020 152.173115028422
Ta6040 148.546266772634
60Ta40 145.196967061131
80Ta20 142.12831845176
Be8020 108.303409070842
Be6040 105.409363491175
60Be40 102.916598746177
80Be20 100.783098215623
Ca8020 52.1384133571628
Ca6040 52.0313362021168
60Ca40 52.0718550822807
80Ca20 52.2493408988023
Pd80Li20 61.7704975878912
Pd60Li40 60.8335548419515
Li60Pd40 60.0519079583373
Li80Pd20 59.4342627587629
Zn80Li20 98.2190244491555
Zn60Li40 94.5653443908933
Li60Zn40 91.4233688329187
Li80Zn20 88.7526472018871
Ta80Li20 66.8076705115441
Ta60Li40 66.2037997301552
Li60Ta40 65.517488947839
Li80Ta20 64.8108917546007
Al80Li20 99.3024479261222
Al60Li40 95.4008299110069
Li60Al40 92.0166211042936
Li80Al20 89.1137689060589
La80Li20 125.204933618841
La60Li40 119.327273959032
Li60La40 113.852345124789
Li80La20 108.888230185027
